Destination,Month,Duration,Age,Gender,Accomodation Style,Budget
Dublin,April,18,51,Male,Hotel,40528.33
Reykjavik,November,14,58,Female,Vacation Rental,17290.65
Amsterdam,May,5,52,Female,Villa,38077.0
Hoi An,February,5,40,Female,Hotel,9052.01
Berlin,May,11,64,Male,Airbnb,41530.24
Cancun,January,6,49,Female,Eco-Lodge,31723.75
Reykjavik,November,11,25,Male,Vacation Rental,4057.88
Phuket,February,5,39,Female,Villa,1234.55
New York,June,15,30,Female,Villa,39431.45
Bali,August,13,25,Female,Airbnb,13370.48
Cancun,March,16,20,Female,Villa,28758.19
Dublin,February,17,48,Female,Resort,41238.22
Santorini,November,13,62,Male,Eco-Lodge,21321.94
Auckland,October,16,42,Female,Hotel,42526.19
Dubai,August,11,29,Female,Resort,44902.82
Vancouver,October,11,21,Male,Resort,1508.69
Barcelona,December,12,28,Female,Villa,7732.69
Seoul,February,7,38,Female,Vacation Rental,25613.24
Cape Town,March,13,42,Female,Villa,25507.83
Sydney,December,13,62,Male,Airbnb,23273.93
Berlin,May,7,51,Male,Eco-Lodge,35489.67
Dubai,November,9,49,Female,Villa,36516.52
Luxembourg City,September,6,47,Female,Villa,45355.87
Luxembourg City,October,13,63,Female,Eco-Lodge,11219.32
Amsterdam,December,7,39,Female,Hostel,11098.13
Dublin,April,12,46,Female,Vacation Rental,36032.13
Marrakech,May,15,48,Female,Hotel,25491.52
Berlin,January,13,42,Male,Hostel,16751.92
Sydney,November,6,28,Male,Vacation Rental,12093.81
Auckland,March,6,25,Male,Vacation Rental,25764.36
London,July,6,58,Male,Vacation Rental,44509.14
New York,October,12,23,Female,Hotel,36202.45
Cairo,October,8,44,Male,Airbnb,48696.97
Edinburgh,November,15,49,Female,Eco-Lodge,48258.4
Barcelona,July,9,18,Male,Hotel,46480.01
Hoi An,November,15,23,Male,Eco-Lodge,47192.77
Salzburg,February,5,55,Female,Hotel,25752.48
Honolulu,January,18,50,Male,Villa,16520.88
Dublin,October,7,23,Male,Vacation Rental,18078.24
Edinburgh,July,11,27,Female,Resort,33106.95
Marrakech,October,17,50,Male,Vacation Rental,49898.19
Hoi An,August,11,37,Female,Vacation Rental,13208.74
Cancun,October,14,61,Female,Villa,47728.61
Hoi An,July,16,63,Female,Vacation Rental,30984.1
Vancouver,February,10,55,Male,Airbnb,12935.79
Hoi An,August,6,60,Female,Villa,47450.0
Porto,May,12,33,Male,Eco-Lodge,28633.73
Sydney,February,16,49,Female,Eco-Lodge,20779.53
Sydney,November,14,27,Male,Eco-Lodge,35903.86
Rio de Janeiro,November,6,49,Female,Villa,32305.05
Cancun,November,17,62,Female,Resort,47463.67
Reykjavik,October,8,62,Female,Resort,19702.52
Barcelona,October,18,36,Female,Hostel,45371.36
Cape Town,August,14,48,Female,Airbnb,19966.9
Seoul,November,6,65,Female,Hotel,41860.33
Porto,March,10,37,Female,Hostel,20733.23
Sydney,May,6,48,Female,Airbnb,10550.02
Reykjavik,January,12,48,Female,Eco-Lodge,3547.35
Seoul,May,10,50,Male,Eco-Lodge,49169.64
Paris,March,10,26,Female,Hotel,17790.3
Santorini,February,17,35,Male,Vacation Rental,36815.42
Dublin,April,7,20,Female,Eco-Lodge,2911.52
Paris,October,7,64,Male,Resort,27910.32
Seoul,October,7,64,Female,Eco-Lodge,14924.05
Tokyo,May,15,63,Female,Villa,44066.37
New York,May,17,41,Male,Hotel,8842.54
Hoi An,November,15,49,Male,Hostel,17559.22
Rome,July,11,53,Female,Eco-Lodge,13521.05
Berlin,December,10,18,Female,Villa,37466.2
Sydney,July,13,44,Female,Airbnb,25173.01
Copenhagen,February,10,43,Male,Vacation Rental,39418.06
Santorini,May,6,26,Female,Villa,32740.16
Tokyo,June,11,59,Male,Airbnb,15664.12
Cape Town,May,17,47,Male,Resort,11015.56
London,August,18,41,Female,Vacation Rental,3228.23
Honolulu,March,16,62,Female,Hostel,3503.74
Cape Town,November,16,47,Male,Villa,24093.04
Cancun,April,12,20,Female,Hotel,39475.06
Dublin,February,10,64,Female,Airbnb,19552.54
Luxembourg City,June,6,61,Male,Hotel,9760.88
Sydney,September,7,34,Male,Resort,23322.92
Reykjavik,March,18,60,Male,Airbnb,10602.41
Paris,August,15,59,Female,Hostel,24236.96
Barcelona,April,8,54,Female,Hotel,19164.12
Rio de Janeiro,April,12,20,Male,Villa,37001.33
Porto,August,17,43,Male,Eco-Lodge,20610.26
Vancouver,October,16,53,Female,Hotel,29526.16
Porto,August,15,40,Female,Airbnb,26232.38
Cartagena,April,15,45,Female,Airbnb,4977.44
Honolulu,November,12,47,Male,Vacation Rental,35014.31
Phuket,July,6,46,Female,Villa,16605.25
Amsterdam,October,17,35,Male,Airbnb,45876.89
Vancouver,December,10,35,Male,Resort,16578.65
Cape Town,October,16,38,Female,Hostel,27029.28
Bali,September,12,45,Male,Airbnb,13018.54
Santorini,May,15,36,Female,Eco-Lodge,8113.24
Barcelona,August,18,64,Female,Eco-Lodge,3989.57
London,February,11,37,Male,Villa,14566.37
Amsterdam,July,11,26,Male,Resort,47878.28
Dublin,February,6,27,Female,Hotel,36559.27
Copenhagen,August,15,38,Male,Vacation Rental,43213.54
Cancun,July,18,59,Female,Hostel,41770.04
Hoi An,January,14,52,Female,Airbnb,46086.23
Vancouver,August,12,37,Male,Hotel,18060.93
Vancouver,November,12,58,Female,Vacation Rental,39958.3
Tokyo,November,9,44,Male,Hotel,5376.29
Edinburgh,December,16,44,Female,Vacation Rental,2433.74
Salzburg,March,18,43,Female,Resort,40371.97
Auckland,November,8,19,Male,Villa,15675.13
Hoi An,April,10,47,Female,Resort,4485.54
Cape Town,March,14,25,Female,Villa,9629.38
Salzburg,October,11,56,Female,Eco-Lodge,34756.76
Luxembourg City,April,10,30,Female,Vacation Rental,28846.1
New York,March,8,54,Female,Eco-Lodge,31589.27
Dubai,June,5,18,Male,Hostel,44049.71
Seoul,May,10,29,Male,Airbnb,34814.78
Marrakech,August,13,31,Female,Vacation Rental,47517.84
Auckland,July,9,64,Male,Hostel,6023.18
Salzburg,April,12,43,Female,Vacation Rental,27482.69
Barcelona,January,17,49,Male,Airbnb,38115.42
Paris,February,9,50,Female,Airbnb,11249.84
Honolulu,July,16,57,Female,Hotel,9495.39
Salzburg,November,7,30,Male,Eco-Lodge,3924.22
Auckland,July,17,31,Male,Hotel,37339.42
Auckland,June,14,51,Male,Hotel,33305.33
Bali,November,9,64,Male,Eco-Lodge,44999.92
Dubai,April,14,44,Male,Eco-Lodge,2463.32
Sydney,July,7,20,Male,Villa,24039.96
Reykjavik,December,14,60,Male,Hostel,8112.05
London,September,16,36,Male,Vacation Rental,4090.34
Paris,March,5,27,Female,Eco-Lodge,42995.61
Porto,October,15,28,Male,Hostel,21611.99
Auckland,December,11,47,Male,Vacation Rental,33581.58
Bali,April,7,29,Female,Resort,17784.02
Cairo,March,13,61,Female,Airbnb,5435.46
Vancouver,April,14,59,Male,Hotel,8848.61
Rome,November,7,29,Female,Airbnb,15591.86
Paris,July,13,24,Male,Hostel,33677.88
Vancouver,November,8,61,Female,Airbnb,33214.88
Porto,May,13,35,Female,Resort,17768.38
Vancouver,October,5,20,Male,Hostel,36614.71
Honolulu,June,14,30,Female,Vacation Rental,18119.08
Dubai,June,11,50,Male,Hotel,35336.79
Dublin,May,7,60,Male,Airbnb,20195.25
Tokyo,June,9,20,Male,Villa,33033.22
Dubai,July,14,20,Female,Airbnb,18342.63
Honolulu,January,7,27,Male,Hotel,43805.68
Cape Town,June,17,54,Female,Villa,28495.6
Kathmandu,December,9,41,Female,Eco-Lodge,29863.28
Cairo,February,6,60,Female,Airbnb,26105.96
Hoi An,May,16,26,Female,Hostel,19727.49
Kathmandu,February,12,46,Male,Hotel,1557.65
Auckland,March,13,35,Female,Vacation Rental,38403.32
Auckland,May,16,22,Female,Vacation Rental,31534.07
Cairo,October,6,47,Male,Hotel,41161.01
Amsterdam,March,12,38,Male,Villa,18906.12
Reykjavik,September,8,21,Female,Hostel,23511.27
Cape Town,July,12,57,Male,Airbnb,21820.27
Edinburgh,June,15,58,Male,Hotel,31469.8
Tokyo,April,15,39,Male,Hostel,7021.62
Cancun,March,11,28,Female,Hotel,38315.67
Salzburg,February,13,29,Female,Resort,5745.86
Phuket,April,17,43,Male,Airbnb,9271.56
Paris,November,15,18,Female,Eco-Lodge,26316.04
Cancun,September,18,23,Female,Resort,13311.82
Marrakech,September,12,21,Male,Villa,8766.54
Luxembourg City,January,13,19,Female,Hostel,44799.79
Edinburgh,May,13,31,Male,Hostel,38295.89
Rome,April,16,47,Female,Eco-Lodge,40134.59
Edinburgh,March,13,31,Female,Hotel,47322.11
Cancun,June,6,52,Male,Hostel,1045.23
Paris,January,18,25,Female,Eco-Lodge,17729.46
Tokyo,January,17,20,Male,Hostel,9268.36
London,January,10,43,Female,Resort,5105.99
Paris,February,12,25,Female,Hostel,48782.84
Cairo,June,15,56,Female,Hostel,10498.17
Phuket,March,7,53,Female,Resort,21248.32
Phuket,October,12,58,Male,Eco-Lodge,31167.13
Rio de Janeiro,February,17,63,Male,Hostel,17330.05
Berlin,February,13,52,Female,Hotel,11742.01
Phuket,April,15,26,Female,Airbnb,47775.41
Seoul,April,5,23,Female,Hostel,9550.29
Tokyo,April,14,32,Female,Hotel,38640.16
Sydney,July,14,38,Female,Villa,32094.11
Salzburg,May,12,29,Male,Villa,13437.64
Cairo,December,18,52,Female,Hotel,32351.97
Berlin,February,6,24,Female,Airbnb,7349.81
Vancouver,June,18,27,Male,Hotel,25361.04
Reykjavik,March,5,21,Male,Resort,6000.95
Porto,January,6,63,Female,Airbnb,3187.58
Sydney,March,5,32,Male,Villa,37415.08
New York,March,11,51,Female,Resort,26022.68
Phuket,June,5,46,Male,Hotel,27215.45
Vancouver,February,18,42,Female,Hostel,39906.59
Porto,July,18,50,Female,Airbnb,36197.11
Berlin,May,9,50,Male,Hotel,35717.11
Cancun,November,13,37,Male,Vacation Rental,27461.74
Phuket,July,12,23,Female,Airbnb,27747.98
Cartagena,March,9,40,Male,Airbnb,11572.43
Seoul,February,13,30,Female,Villa,24837.9
Rome,November,18,28,Female,Airbnb,22036.8
Edinburgh,January,9,35,Male,Villa,47818.81
Tokyo,August,12,36,Male,Villa,33477.4
Barcelona,March,16,19,Female,Resort,26492.52
Vancouver,October,16,39,Male,Eco-Lodge,22978.53
Amsterdam,January,14,34,Male,Vacation Rental,29673.41
Barcelona,August,13,25,Male,Villa,25257.14
Auckland,October,5,47,Female,Eco-Lodge,46430.8
Barcelona,August,14,33,Male,Airbnb,19042.12
Copenhagen,January,10,37,Male,Hotel,17654.31
Amsterdam,June,9,46,Male,Resort,7881.23
London,January,11,47,Male,Resort,41203.5
Berlin,March,13,23,Male,Villa,37867.67
Luxembourg City,March,17,21,Female,Airbnb,31568.77
Rome,January,7,54,Male,Resort,7305.64
Cape Town,November,17,43,Male,Villa,27837.22
Reykjavik,August,17,25,Male,Hotel,42573.87
Edinburgh,August,16,21,Male,Hotel,2252.13
Paris,March,10,52,Male,Eco-Lodge,12571.83
Sydney,May,11,20,Female,Hotel,11463.79
Santorini,March,14,65,Female,Villa,40001.75
Santorini,February,5,60,Male,Eco-Lodge,29590.27
Seoul,February,14,37,Male,Vacation Rental,28529.43
Hoi An,January,17,41,Female,Villa,10482.78
Honolulu,February,8,38,Female,Resort,39167.32
Tokyo,March,18,34,Female,Airbnb,30116.66
Dubai,October,18,28,Female,Resort,16422.82
Hoi An,June,14,37,Female,Villa,35171.62
Auckland,August,14,26,Male,Hostel,27913.7
New York,March,17,49,Female,Vacation Rental,38033.05
Auckland,June,10,34,Female,Airbnb,33999.66
Copenhagen,July,7,27,Male,Airbnb,46249.55
Cartagena,March,14,39,Female,Airbnb,48606.37
Vancouver,September,15,52,Male,Eco-Lodge,46554.91
Sydney,July,14,53,Male,Resort,21212.43
Seoul,January,7,25,Male,Vacation Rental,45621.86
Edinburgh,October,6,54,Female,Airbnb,48585.95
Rome,May,11,57,Male,Resort,1506.38
Sydney,October,8,31,Female,Resort,39929.21
Reykjavik,November,11,58,Female,Vacation Rental,36696.9
Berlin,February,9,26,Female,Resort,8070.35
Reykjavik,March,6,45,Male,Resort,36359.95
Cartagena,April,8,45,Female,Resort,46919.26
Seoul,November,8,38,Male,Vacation Rental,28450.23
Paris,February,9,56,Female,Hotel,25577.07
Marrakech,February,5,25,Male,Eco-Lodge,25777.57
Cairo,September,9,29,Female,Hotel,19192.41
Cairo,January,17,25,Female,Hostel,21939.7
Reykjavik,December,14,49,Male,Airbnb,36523.99
Rome,September,15,58,Male,Airbnb,34876.75
Santorini,October,14,20,Male,Hotel,49937.32
Salzburg,July,8,25,Female,Villa,22444.99
Hoi An,April,6,30,Female,Airbnb,7238.61
Rio de Janeiro,June,18,45,Male,Vacation Rental,10833.28
Luxembourg City,March,13,48,Female,Hotel,34761.97
Rome,January,18,49,Female,Hotel,47936.48
Cancun,November,18,33,Female,Vacation Rental,36854.79
Sydney,February,18,53,Female,Eco-Lodge,15288.93
Dubai,August,17,46,Male,Hotel,29448.27
Salzburg,January,15,52,Male,Eco-Lodge,23150.3
Luxembourg City,January,17,47,Male,Resort,21327.48
Cancun,September,7,42,Female,Airbnb,1966.89
Berlin,January,13,25,Male,Hostel,1199.26
Reykjavik,March,7,24,Male,Eco-Lodge,34006.25
Berlin,August,8,35,Female,Airbnb,24505.85
Rome,December,13,23,Female,Hotel,28390.89
Porto,October,5,65,Female,Airbnb,33382.34
Luxembourg City,October,15,57,Male,Resort,23990.19
Seoul,August,6,49,Female,Hostel,35378.29
Hoi An,September,14,45,Female,Villa,13649.53
Reykjavik,December,18,63,Male,Vacation Rental,19664.91
Barcelona,July,6,25,Female,Villa,27245.69
Marrakech,June,8,32,Female,Eco-Lodge,45782.35
Cairo,March,18,48,Male,Villa,21460.11
Paris,December,12,40,Male,Resort,49190.62
Paris,December,18,20,Female,Villa,11160.02
Dubai,December,5,54,Male,Hotel,45375.14
Tokyo,February,14,19,Male,Villa,7309.12
Rome,January,9,30,Female,Hostel,19277.73
Cancun,January,10,32,Male,Hotel,41555.28
Salzburg,May,5,44,Female,Eco-Lodge,26711.74
Rome,June,14,27,Male,Airbnb,15738.75
Bali,March,7,58,Male,Vacation Rental,32779.02
Auckland,February,15,62,Female,Resort,3297.21
Edinburgh,December,11,25,Male,Resort,35974.74
Barcelona,August,11,46,Male,Hostel,35096.58
Copenhagen,May,14,52,Female,Hostel,3972.45
Tokyo,November,7,24,Male,Hostel,16508.11
London,September,14,48,Female,Hostel,13977.95
Luxembourg City,December,7,64,Female,Hostel,47511.85
Berlin,April,8,37,Male,Resort,49304.27
Marrakech,April,16,30,Female,Hostel,21500.28
Porto,July,15,43,Female,Vacation Rental,5024.08
Vancouver,July,18,51,Female,Hotel,6651.7
Reykjavik,August,9,58,Male,Hotel,46692.4
Salzburg,April,5,18,Female,Eco-Lodge,41893.28
Vancouver,July,10,45,Male,Resort,17608.31
Bali,September,5,61,Male,Hostel,27157.15
Cartagena,July,14,60,Male,Vacation Rental,35583.02
Hoi An,October,8,35,Male,Hostel,4818.46
Tokyo,October,11,20,Female,Villa,30124.35
Hoi An,August,16,51,Male,Resort,34599.56
London,May,5,42,Male,Eco-Lodge,22246.14
Tokyo,January,16,53,Female,Hotel,19826.17
Santorini,July,16,25,Male,Villa,7479.6
Cartagena,February,6,48,Female,Eco-Lodge,46025.6
Cape Town,November,17,23,Male,Hotel,2873.88
Marrakech,January,16,18,Male,Hostel,21158.45
Cairo,February,15,54,Female,Hotel,2601.01
New York,August,14,38,Female,Resort,37733.55
Edinburgh,February,14,65,Female,Resort,17210.0
Copenhagen,April,6,64,Female,Hostel,17107.98
Kathmandu,December,8,63,Male,Eco-Lodge,5117.27
Amsterdam,February,9,21,Female,Villa,9994.28
Cairo,September,17,24,Male,Resort,11937.37
Hoi An,March,17,40,Male,Vacation Rental,37954.34
Kathmandu,March,14,19,Female,Eco-Lodge,47935.36
Dublin,August,17,40,Female,Resort,22038.67
Berlin,May,15,57,Female,Eco-Lodge,49246.86
Cairo,June,9,39,Male,Hotel,28726.35
Vancouver,June,10,20,Male,Airbnb,39138.65
Kathmandu,December,12,44,Male,Vacation Rental,34030.4
Edinburgh,October,10,35,Female,Resort,46231.45
Tokyo,February,8,24,Male,Vacation Rental,32182.64
Edinburgh,May,11,61,Male,Resort,9787.93
Reykjavik,June,11,36,Male,Airbnb,45902.16
Santorini,April,12,22,Female,Airbnb,12891.85
Santorini,November,16,30,Male,Resort,40814.37
Amsterdam,November,10,33,Female,Resort,4633.13
Dublin,November,18,57,Female,Vacation Rental,45256.0
Auckland,August,8,22,Male,Airbnb,14929.71
Sydney,February,17,23,Female,Airbnb,35644.61
Amsterdam,April,6,40,Male,Eco-Lodge,2936.3
Edinburgh,October,5,19,Female,Villa,9605.09
Marrakech,May,7,43,Female,Vacation Rental,1392.72
Reykjavik,April,18,55,Female,Airbnb,49059.17
Kathmandu,June,15,32,Male,Hotel,45518.92
Cape Town,February,18,18,Male,Villa,20236.27
Phuket,September,16,34,Male,Hostel,11199.91
Dublin,October,14,63,Male,Resort,30891.92
Honolulu,September,15,27,Female,Villa,21929.47
Berlin,November,5,43,Female,Airbnb,8964.9
London,February,9,23,Female,Vacation Rental,11006.1
Hoi An,August,18,34,Female,Eco-Lodge,2756.3
Amsterdam,December,11,56,Female,Vacation Rental,23383.65
London,August,13,29,Male,Hotel,11043.46
Porto,January,17,41,Female,Resort,28988.9
Tokyo,December,7,24,Female,Eco-Lodge,33025.86
Luxembourg City,April,10,65,Male,Vacation Rental,6367.93
Cancun,April,10,30,Male,Airbnb,36566.05
Barcelona,May,9,64,Female,Resort,16184.81
Dublin,January,14,19,Female,Hostel,12563.29
Sydney,February,11,53,Female,Villa,48481.85
London,June,17,31,Female,Vacation Rental,49273.19
Copenhagen,December,9,45,Male,Eco-Lodge,23910.66
Rio de Janeiro,April,15,55,Female,Hotel,15854.24
Kathmandu,October,8,64,Male,Hostel,42961.22
Marrakech,April,7,65,Female,Hostel,1261.42
Dublin,March,17,38,Female,Villa,7711.73
London,July,11,24,Female,Vacation Rental,40155.83
Salzburg,September,14,61,Female,Vacation Rental,22895.07
Sydney,December,13,25,Male,Airbnb,34430.57
Amsterdam,March,5,52,Male,Hotel,1283.38
Tokyo,October,7,51,Male,Eco-Lodge,44226.82
Rio de Janeiro,November,17,54,Male,Hostel,6216.11
Hoi An,March,11,25,Female,Eco-Lodge,22419.79
Cape Town,November,6,58,Male,Resort,6038.49
Edinburgh,October,12,28,Male,Vacation Rental,6827.23
Honolulu,May,10,60,Female,Villa,45329.05
New York,November,15,48,Female,Vacation Rental,10689.83
Vancouver,July,9,33,Female,Resort,47769.47
Rio de Janeiro,November,9,32,Female,Eco-Lodge,47111.82
Berlin,December,9,39,Male,Hotel,27823.09
Honolulu,April,6,54,Male,Hostel,20119.13
New York,February,9,62,Male,Resort,30828.0
Seoul,January,17,48,Male,Hotel,48468.18
Santorini,June,5,60,Female,Resort,19265.34
Sydney,June,15,18,Female,Airbnb,18503.68
Hoi An,February,8,19,Female,Airbnb,35935.84
Phuket,September,11,41,Male,Eco-Lodge,43408.59
New York,October,10,33,Male,Airbnb,39470.05
Kathmandu,February,10,63,Male,Villa,16410.55
Tokyo,June,7,59,Female,Airbnb,4884.51
Amsterdam,October,8,30,Female,Hotel,46135.52
Dublin,February,5,52,Female,Vacation Rental,38062.85
Porto,June,8,62,Male,Eco-Lodge,15645.86
Dubai,May,9,46,Male,Villa,38338.75
Phuket,November,9,29,Female,Hostel,2747.28
London,March,6,21,Male,Villa,12323.9
Honolulu,November,8,40,Female,Airbnb,48909.6
Vancouver,March,17,51,Male,Vacation Rental,23649.59
Cancun,June,14,58,Female,Airbnb,45479.85
Marrakech,September,12,49,Male,Vacation Rental,8889.35
Barcelona,June,17,45,Male,Hotel,9545.1
Copenhagen,February,16,26,Male,Resort,18066.9
Vancouver,August,12,45,Female,Eco-Lodge,12572.67
New York,May,6,31,Female,Vacation Rental,23824.16
Amsterdam,January,8,22,Female,Airbnb,38346.41
Vancouver,March,9,60,Male,Vacation Rental,10238.6
Reykjavik,January,9,21,Male,Hotel,48328.95
Edinburgh,July,7,23,Male,Hostel,30927.64
Auckland,November,13,48,Female,Airbnb,42232.13
Santorini,June,6,26,Female,Resort,33915.99
Barcelona,June,18,32,Female,Eco-Lodge,13261.53
Vancouver,December,13,33,Female,Resort,16314.21
Porto,November,15,25,Male,Eco-Lodge,8264.76
Marrakech,April,14,18,Female,Eco-Lodge,15380.66
Copenhagen,December,12,36,Male,Airbnb,18044.13
Sydney,April,8,30,Male,Hostel,3487.61
Rio de Janeiro,March,15,55,Male,Hotel,2716.21
Luxembourg City,July,12,20,Male,Vacation Rental,46126.09
Rome,November,11,29,Male,Hostel,4835.76
Luxembourg City,February,16,52,Male,Eco-Lodge,36715.9
Porto,November,17,55,Female,Hostel,24348.59
London,June,16,29,Female,Vacation Rental,24405.8
Cape Town,March,18,59,Male,Villa,2035.63
Salzburg,May,18,25,Male,Airbnb,20912.41
Hoi An,March,5,28,Female,Airbnb,20284.88
Honolulu,April,16,24,Male,Resort,33611.99
Berlin,July,16,61,Female,Eco-Lodge,28371.21
Dubai,December,10,50,Female,Hotel,7013.26
Porto,September,9,18,Male,Hostel,22860.83
Sydney,May,16,64,Female,Hotel,6864.4
Berlin,February,14,58,Female,Resort,25890.49
Luxembourg City,March,15,49,Male,Hotel,45007.05
Reykjavik,March,12,33,Male,Hostel,37612.72
Bali,October,5,46,Female,Villa,7747.11
Cancun,April,13,41,Male,Eco-Lodge,3398.39
Hoi An,March,8,40,Female,Hostel,14049.03
Luxembourg City,August,13,53,Female,Airbnb,3130.57
Barcelona,March,15,63,Female,Resort,47776.05
Hoi An,September,11,61,Female,Villa,40066.12
Vancouver,September,8,40,Female,Villa,9183.89
Edinburgh,April,11,63,Male,Resort,39241.12
Marrakech,December,7,55,Female,Eco-Lodge,11093.25
Cancun,January,6,49,Female,Airbnb,25732.51
Sydney,February,18,31,Male,Eco-Lodge,23177.81
Salzburg,December,18,47,Female,Villa,22031.83
London,January,8,43,Female,Resort,4742.48
Cape Town,July,14,40,Female,Hotel,4575.88
Rio de Janeiro,May,18,50,Male,Hotel,10666.1
Barcelona,October,16,44,Female,Eco-Lodge,19954.32
Salzburg,August,18,39,Male,Hotel,49206.47
Cairo,May,6,51,Female,Villa,30762.34
Paris,December,13,44,Female,Hostel,3270.42
Porto,April,18,30,Female,Hotel,11373.84
Kathmandu,February,18,45,Male,Villa,15752.3
Tokyo,July,16,34,Male,Hostel,41813.26
Honolulu,May,13,25,Female,Resort,45987.64
Berlin,April,12,48,Male,Hotel,4525.7
Dubai,March,5,18,Female,Hostel,48645.37
Cancun,July,10,38,Male,Resort,31001.71
Porto,July,18,53,Female,Villa,40134.9
Sydney,February,9,28,Male,Resort,1472.61
New York,April,12,46,Male,Vacation Rental,41501.37
Cartagena,October,8,50,Male,Airbnb,3585.74
Luxembourg City,November,14,33,Male,Hostel,34859.73
Berlin,March,11,61,Male,Vacation Rental,20974.77
Dubai,May,17,18,Female,Hostel,21622.25
New York,January,15,18,Male,Hostel,20874.11
Sydney,April,6,38,Male,Hotel,43414.13
Hoi An,September,12,56,Male,Hostel,14043.39
Cairo,August,16,31,Male,Hotel,24888.2
Phuket,June,11,57,Female,Hotel,27682.85
Paris,July,13,51,Male,Resort,7199.35
Luxembourg City,June,18,60,Male,Villa,15799.97
Porto,December,8,25,Female,Eco-Lodge,2738.93
Hoi An,October,8,37,Male,Eco-Lodge,40723.69
Copenhagen,April,5,41,Male,Hotel,21462.17
Edinburgh,May,17,33,Male,Hostel,38453.4
Tokyo,December,6,37,Female,Airbnb,33954.57
Rome,December,13,60,Male,Airbnb,25127.88
Rome,February,15,44,Male,Eco-Lodge,8103.87
Cartagena,February,18,52,Female,Eco-Lodge,7719.34
Porto,September,7,52,Male,Hotel,33069.84
London,April,11,50,Female,Hostel,8124.41
Hoi An,August,7,60,Male,Hotel,8612.64
Honolulu,November,9,21,Male,Hotel,11411.26
Copenhagen,February,14,65,Male,Airbnb,44110.09
Tokyo,August,7,53,Female,Resort,10544.45
Tokyo,March,9,20,Female,Eco-Lodge,22548.81
Phuket,May,17,58,Female,Airbnb,9482.46
Rio de Janeiro,March,7,63,Male,Hotel,29385.62
Tokyo,February,16,19,Female,Vacation Rental,19622.91
Edinburgh,May,11,37,Female,Hostel,9367.3
Salzburg,August,18,43,Male,Airbnb,17895.51
Cartagena,November,11,31,Female,Vacation Rental,2865.08
Hoi An,May,15,51,Female,Eco-Lodge,41897.62
Cartagena,March,5,50,Female,Vacation Rental,48519.88
Hoi An,March,9,51,Male,Airbnb,17682.6
Cancun,February,10,64,Male,Hotel,30373.37
Honolulu,May,12,34,Male,Vacation Rental,6844.27
Dublin,February,9,33,Male,Hotel,10053.04
Kathmandu,April,15,28,Male,Hotel,37341.37
Sydney,June,15,37,Male,Hostel,38322.11
Auckland,May,17,46,Male,Villa,38334.1
Sydney,August,8,29,Female,Hostel,43701.66
London,August,16,49,Female,Airbnb,29594.3
Kathmandu,August,10,50,Male,Hostel,23260.76
Santorini,August,18,58,Male,Vacation Rental,37281.45
London,October,17,29,Male,Resort,45463.84
Porto,October,18,53,Male,Hostel,41210.68
Edinburgh,October,12,65,Male,Villa,44329.96
New York,October,6,57,Male,Eco-Lodge,21312.95
Hoi An,February,8,50,Female,Villa,31051.45
Auckland,February,12,62,Male,Eco-Lodge,5823.17
Porto,September,14,36,Female,Eco-Lodge,34313.58
Seoul,September,9,39,Male,Villa,43131.28
Cartagena,December,5,40,Female,Hotel,44084.62
Sydney,October,11,19,Male,Resort,32956.9
Rome,October,7,33,Female,Vacation Rental,26147.33
Reykjavik,May,10,63,Female,Villa,47129.47
Cancun,November,8,59,Female,Eco-Lodge,22736.94
Dublin,January,10,62,Female,Eco-Lodge,5532.01
Copenhagen,May,10,44,Female,Airbnb,7871.18
Cartagena,January,6,32,Female,Villa,23906.98
Berlin,May,5,35,Female,Villa,44314.21
Salzburg,November,7,43,Male,Hotel,12244.11
Dublin,May,17,35,Female,Airbnb,2205.03
Rome,July,6,52,Male,Resort,1954.9
Dublin,July,16,55,Female,Hostel,26350.58
Santorini,September,12,50,Female,Resort,10141.82
Rome,December,13,46,Male,Airbnb,45784.55
Tokyo,December,6,35,Male,Hostel,9421.02
Cartagena,February,18,62,Male,Hotel,5252.92
Cape Town,November,14,63,Female,Villa,11451.06
Amsterdam,March,12,20,Female,Vacation Rental,48470.19
New York,March,9,33,Female,Villa,12035.45
Bali,December,7,30,Male,Airbnb,21084.79
Rome,February,11,28,Female,Airbnb,32251.72
Sydney,August,15,24,Female,Villa,21581.47
Cartagena,August,17,22,Female,Airbnb,22347.67
Berlin,September,17,57,Female,Hotel,24681.53
Berlin,November,12,49,Male,Hostel,10234.77
Dubai,February,12,58,Male,Eco-Lodge,35211.63
Cancun,July,10,24,Female,Eco-Lodge,31026.42
Sydney,January,10,61,Female,Airbnb,48326.41
Paris,February,6,18,Female,Airbnb,1295.22
Kathmandu,November,17,19,Male,Airbnb,35202.87
Marrakech,October,9,60,Female,Villa,40995.28
Amsterdam,February,9,31,Female,Eco-Lodge,35724.35
Copenhagen,May,6,54,Male,Airbnb,11569.66
Honolulu,January,16,56,Male,Resort,16409.12
Porto,August,10,35,Female,Airbnb,5027.09
Seoul,March,6,45,Male,Resort,32311.61
Dublin,June,6,36,Male,Eco-Lodge,37486.1
Santorini,June,17,51,Female,Airbnb,37857.9
Cairo,November,18,63,Male,Vacation Rental,48556.07
Phuket,February,14,21,Male,Eco-Lodge,47315.38
Bali,May,12,60,Female,Hotel,6298.08
Edinburgh,June,14,36,Male,Resort,2804.43
